Test,R,Score,MaxScore,Energy,DefaultEnergy
A001,20,3976,4000,1974948,335123860
A002,20,3902,4000,4055968,165905180
A003,20,3975,4000,881282,142863608
A004,20,3952,4000,12976278,1097434212
A005,20,3976,4000,4074736,705484076
A006,20,3984,4000,3026614,758284976
A007,20,3988,4000,4223580,1528766296
A008,20,3988,4000,3547322,1185055212
A009,20,3972,4000,1967484,288318700
A010,20,3981,4000,1205044,257595824
A011,20,3920,4000,4054272,204790024
A012,20,3931,4000,8859334,519461556
A013,20,3957,4000,4729830,446494648
A014,20,3962,4000,4731510,501700108
A015,20,3918,4000,6838198,337283328
A016,20,3937,4000,8862178,568667136
A017,20,3945,4000,6916586,510821324
A018,20,3962,4000,4733258,511061356
A019,30,3993,4000,54661446,35590318172
A020,30,3989,4000,54450534,21353195740
A021,30,3993,4000,46037286,28105622492
A022,30,3990,4000,55932022,24353554268
A023,30,3994,4000,38482776,26223100004
A024,30,3992,4000,46284216,24279023204
A025,30,3993,4000,56505496,33688354916
A026,30,3990,4000,70624784,29835842724
A027,30,3994,4000,16077446,12195083848
A028,30,3992,4000,20045246,10089000648
A029,30,3995,4000,30288254,24385955548
A030,30,3992,4000,38223854,20173789148
A031,30,3994,4000,30025276,23136893784
A032,30,3992,4000,37641228,19391305816
A033,30,3993,4000,36887122,21242221356
A034,30,3989,4000,50004794,19987481788
A035,30,3990,4000,55825246,23739550012
A036,30,3993,4000,35058858,20398978044
A037,30,3991,4000,41461038,19746902284
A038,30,3991,4000,47911836,23544324180
A039,30,3989,4000,60063708,22257183332
A040,30,3978,4000,120666226,22492122912
A041,30,3977,4000,143273240,25475470768
A042,40,4993,5000,158914258,114259120196
A043,40,4990,5000,87429692,46004176728
A044,40,4992,5000,179827118,116040982732
A045,40,4982,5000,361397050,102310808960
A046,40,4983,5000,374305614,112348736256
A047,40,4967,5000,121064784,18693730480
A048,40,4988,5000,71625672,30676597692
A049,40,4984,5000,278321880,92138489084
A050,40,4993,5000,269862926,207837538792
A051,40,4981,5000,145214430,39001826084
A052,40,4992,5000,122205228,77746023572
A053,40,4992,5000,113063766,74775762168
A054,40,4953,5000,14413918,1547924140
A055,40,4979,5000,164342080,40919937352
A056,40,4992,5000,63277428,40610816940
A057,50,4994,5000,417980180,380013105240
A058,50,4992,5000,596717176,417059610808
A059,50,4990,5000,658713180,345299202456
A060,50,4991,5000,842562680,478740024864
A061,60,4979,5000,1551299674,384072259248
A062,60,4978,5000,1997131116,470593580272
A063,60,4983,5000,1131963850,334325266844
A064,60,4983,5000,1969334420,591860713620
A065,60,4991,5000,1897794410,1158953995168
A066,60,4971,5000,2855762838,503784239996
A067,60,4993,5000,1078522734,778375285076
A068,60,4978,5000,1781325598,405657323920
A069,60,4987,5000,2109614718,821655417104
A070,60,4992,5000,660186932,424002348892
A071,60,4969,5000,1963281912,320010774596
A072,60,4992,5000,639825288,445677883052
A073,60,4990,5000,1271872594,648645227016
A074,60,4993,5000,1112811808,899156717004
A075,60,4995,5000,1267996256,1362290361196
A076,60,4993,5000,1325125558,990589791004
A077,60,4987,5000,716661442,278130470440
A078,70,5969,6000,4669578416,918746905968
A079,70,5978,6000,4213739030,1184857139060
A080,70,5945,6000,7822207732,864477249900
A081,70,5987,6000,2980746564,1442488715504
A082,70,5988,6000,3151447960,1708619486480
A083,70,5984,6000,2691537234,1058835122096
A084,70,5995,6000,1318606912,1936059553736
A085,80,5995,6000,3923703924,5867532392508
A086,80,5984,6000,1627890016,613236676416
A087,80,5912,6000,3389758932,232523132984
A088,80,5556,6000,13200241250,178686248124
A089,80,5993,6000,2169109004,1879916556088
A090,80,5995,6000,9140427926,11237428456952
A091,80,5992,6000,2161397768,1676012282628
A092,80,5994,6000,2043239358,2061149608696
A093,80,5979,6000,7406335166,2203167968968
A094,80,5950,6000,31937689458,3845814716784
A095,80,5978,6000,2487768606,708069477024
A096,80,5986,6000,14471391818,6432688784096
A097,80,5987,6000,6293096986,3026941340600
A098,80,5994,6000,3082072190,3257741213512
A099,80,5992,6000,7377755030,6130526068852
A100,80,5967,6000,12615390556,2351760910796
A101,80,5955,6000,6767187070,904969572052
A102,80,5992,6000,2091916506,1649623515172
A103,80,5995,6000,5710495846,6977508661896
A104,85,5977,6000,48227488619,12743562563240
A105,85,5978,6000,60085289294,16639105453102
A106,90,5992,6000,18987840638,15362099501052
A107,90,5994,6000,6094414208,7294816300604
A108,90,5993,6000,14399140412,13853331018236
A109,90,5993,6000,11634272562,11593238013552
A110,90,5994,6000,7409960938,8521047197952
A111,90,5993,6000,9475231098,8884810892908
A112,100,5990,6000,8427275608,5278930391696
A113,100,5991,6000,3037079110,2095447608804
A114,100,5777,6000,39026847798,1053096842044
A115,100,5994,6000,41138985752,43643533140144
A116,100,5993,6000,28099419718,25678796308956
A117,100,5988,6000,43998761978,23246934210372
A118,100,5993,6000,3271397468,2915888457500
A119,100,5977,6000,28605304056,7578672220112
A120,100,5995,6000,13670733250,16721719229928
A121,100,5987,6000,8485745564,4085199386204
A122,100,5944,6000,70357826068,7628322090712
A123,100,5995,6000,27254219104,37889317953020
A124,100,5950,6000,2388264004,289896224084
A125,100,5996,6000,10217944230,17102808729044
A126,100,5990,6000,16141951318,9894763855668
A127,100,5970,6000,33657965184,6826511262728
A128,100,5990,6000,17932888094,11305844970840
A129,100,5972,6000,40650206240,8900412927568
A130,100,5987,6000,30114599362,14766527282652
A131,100,5991,6000,22099516748,15193367463268
A132,100,5969,6000,45107959182,9015942931320
A133,100,5984,6000,23370064380,8967552944364
A134,100,5992,6000,9139520382,7205381395876
A135,100,5983,6000,14197980056,5196880031636
A136,100,5985,6000,40482381042,16601928520792
A137,120,5984,6000,189841696268,72616580831932
A138,120,5972,6000,364213217008,79266515044248
A139,120,5993,6000,44831740896,43669424403624
A140,120,5966,6000,72695998136,12952136394064
A141,120,5988,6000,40718713372,22001071643284
A142,120,5873,6000,75067713954,3551000251176
A143,120,5987,6000,45599911890,21654936925000
A144,120,5994,6000,72413004642,82704862674520
A145,120,5989,6000,101575964248,56172666337572
A146,120,5988,6000,51495000624,27317006934304
A147,120,5988,6000,45937525738,25033557444608
A148,120,5977,6000,176013758994,46597036383372
A149,120,5991,6000,53724533072,39770069516096
A150,120,5966,6000,152961604718,27579939715408
A151,120,5991,6000,40090188520,27547954217804
A152,120,5991,6000,76802831606,52568075699696
A153,120,5995,6000,10241402558,12712480544188
A154,120,5995,6000,19771676578,29163445235880
A155,120,5966,6000,39432376976,7152793112484
A156,120,5976,6000,44508701268,11291959881104
A157,130,6994,7000,45802212694,63152888227964
A158,130,6987,7000,71061968644,39171724193900
A159,140,6985,7000,36456916698,17013425114676
A160,140,6990,7000,59790123772,43157029944216
A161,140,6982,7000,95638379708,38096571266940
A162,140,6988,7000,193943406900,113682404131060
A163,140,6994,7000,162541223438,209106622524412
A164,150,6990,7000,410385354224,301604296762512
A165,150,6991,7000,268800552776,216141178136592
A166,160,6992,7000,62282286968,61001109736364
A167,160,6995,7000,93451682680,137102307663380
A168,160,6986,7000,92239917986,46198244244012
A169,160,6968,7000,641719411560,143933083450968
A170,160,6984,7000,358691587038,159248112628116
A171,160,6987,7000,99340910892,56817781088216
A172,160,6993,7000,74421650742,86677504117104
A173,180,6995,7000,654314840136,1026356292625844
A174,180,6995,7000,157210227482,251868985569048
A175,180,6994,7000,318102704564,398454869586368
A176,180,6972,7000,1247083732316,313068077236736
A177,180,6992,7000,160593186500,146023246474456
A178,180,6995,7000,610624972088,982122567357920
A179,180,6993,7000,746350541766,761317053608732
A180,180,6992,7000,790214794532,751443710418548
A181,200,6994,7000,1457761471698,1790478455250280
A182,200,6988,7000,1198865028722,736259157641300
A183,200,6989,7000,860496769490,550948183601692
A184,200,6994,7000,1217751337782,1503745149502116
A185,200,6969,7000,2094056067706,484180415428284
A186,220,6994,7000,1272103840726,1582339515307896
D001,20,3995,4000,382523,335111596
D002,20,3990,4000,389864,165900524
D003,20,3987,4000,430304,142857656
D004,20,3998,4000,438021,1097420796
D005,20,3997,4000,427754,705456764
D006,20,3997,4000,383838,758267120
D007,20,3998,4000,420902,1528722760
D008,20,3998,4000,368810,1185010668
D009,20,3994,4000,383488,288308524
D010,20,3994,4000,381666,257585792
D011,20,3992,4000,388323,204782296
D012,20,3996,4000,436258,519447372
D013,20,3996,4000,387158,446480992
D014,20,3996,4000,435353,501685492
D015,20,3995,4000,389123,337272816
D016,20,3996,4000,434653,568650384
D017,20,3996,4000,434783,510805796
D018,20,3996,4000,434768,511045804
